Date,Open,High,Low,Close,Adj Close,Volume
2020-05-01,8672.782227,9996.743164,8374.323242,9461.058594,9461.058594,1286368141507
2020-06-01,9463.605469,10199.565430,8975.525391,9137.993164,9137.993164,650913318680
2020-07-01,9145.985352,11415.864258,8977.015625,11323.466797,11323.466797,545813339109
2020-08-01,11322.570313,12359.056641,11012.415039,11680.820313,11680.820313,708377092130
2020-09-01,11679.316406,12067.081055,9916.493164,10787.618164,10787.618164,893852011704
2020-10-01,10785.010742,14028.213867,10440.311523,13780.995117,13780.995117,747991403008
2020-11-01,13780.995117,19749.263672,13243.160156,19625.835938,19625.835938,1093144913227
2020-12-01,19633.769531,29244.876953,17619.533203,29001.720703,29001.720703,1212259707946
2021-01-01,28994.009766,41946.738281,28722.755859,33114.359375,33114.359375,2155904438233
2021-02-01,33114.578125,58330.570313,32384.228516,45137.769531,45137.769531,2267152936675
2021-03-01,45159.503906,61683.863281,45115.093750,58918.832031,58918.832031,1681184264687
2021-04-01,58926.562500,64863.097656,50583.812500,51762.273438,51762.273438,1408463798774
2021-04-24,50973.105469,50973.105469,49710.246094,49710.246094,49710.246094,80426786816
