date,value
2019-04-14,29
2019-04-21,31
2019-04-28,27
2019-05-05,40
2019-05-12,68
2019-05-19,48
2019-05-26,50
2019-06-02,40
2019-06-09,35
2019-06-16,62
2019-06-23,100
2019-06-30,56
2019-07-07,55
2019-07-14,54
2019-07-21,41
2019-07-28,38
2019-08-04,44
2019-08-11,39
2019-08-18,35
2019-08-25,31
2019-09-01,31
2019-09-08,26
2019-09-15,25
2019-09-22,39
2019-09-29,31
2019-10-06,29
2019-10-13,27
2019-10-20,32
2019-10-27,33
2019-11-03,27
2019-11-10,25
2019-11-17,29
2019-11-24,29
2019-12-01,25
2019-12-08,23
2019-12-15,28
2019-12-22,25
2019-12-29,26
2020-01-05,31
2020-01-12,32
2020-01-19,28
2020-01-26,31
2020-02-02,32
2020-02-09,38
2020-02-16,33
2020-02-23,34
2020-03-01,29
2020-03-08,56
2020-03-15,54
2020-03-22,41
2020-03-29,33
2020-04-05,35
