date,value
2019-04-14,33
2019-04-21,30
2019-04-28,27
2019-05-05,36
2019-05-12,59
2019-05-19,48
2019-05-26,71
2019-06-02,46
2019-06-09,100
2019-06-16,82
2019-06-23,83
2019-06-30,51
2019-07-07,51
2019-07-14,54
2019-07-21,37
2019-07-28,42
2019-08-04,44
2019-08-11,33
2019-08-18,27
2019-08-25,24
2019-09-01,25
2019-09-08,24
2019-09-15,24
2019-09-22,26
2019-09-29,21
2019-10-06,18
2019-10-13,16
2019-10-20,20
2019-10-27,21
2019-11-03,19
2019-11-10,14
2019-11-17,16
2019-11-24,15
2019-12-01,15
2019-12-08,11
2019-12-15,18
2019-12-22,16
2019-12-29,18
2020-01-05,21
2020-01-12,29
2020-01-19,18
2020-01-26,25
2020-02-02,30
2020-02-09,32
2020-02-16,26
2020-02-23,19
2020-03-01,18
2020-03-08,26
2020-03-15,26
2020-03-22,21
2020-03-29,15
2020-04-05,16
2020-04-12,7
